title,year,director_id,rate,user_id,description
Green Book,2018,8,8.2,1,"A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South."
"Me, Myself & Irene",2000,8,6.6,1,"A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates."
There's Something About Mary,1998,8,7.1,1,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
Dumb and Dumber,1994,8,7.3,3,"After a woman leaves a briefcase at the airport terminal,a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
The Truman Show,1998,9,8.2,3,"An insurance salesman discovers his whole life is actually a reality TV show."
Fearless,1993,9,7.1,1,"A man's personality is dramatically changed after surviving a major airline crash."
Dead Poets Society,1989,9,8.1,1,"Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression."
Witness,1985,9,7.4,1,"When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother,police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country.When a young Amish boy is sole witness to a murder while visiting Philadelphia with his mother,police detective John Book tries to protect the boy until an attempt on Book's life forces him into hiding in Amish country."
The Way Back,2010,9,7.3,1,"Siberian gulag escapees travel four thousand miles by foot to freedom in India."
Tetro,2009,10,6.8,1,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond."
The House That Jack Built,2018,11,6.8,2,"The story follows Jack,a highly intelligent serial killer,over the course of twelve years,and depicts the murders that really develop his inner madman."
Melancholia,2011,11,7.1,2,"Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth."
The Boss Of It All,2006,11,6.6,2,"An IT company hires an actor to serve as the company's president in order to help the business get sold to a cranky Icelander."
A Midsummer Night's Dream,2014,12,7.5,1,"Filmed version of Julie Taymor's live theatrical adaptation of Shakespeare's romantic comedy about young lovers and magical sprites."
Across the Universe,2007,12,7.3,1,"The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist."
Frida,2002,12,7.3,1,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work."
Titus,1999,12,7.1,1,"Titus returns victorious from war,only to plant the seeds of future turmoil for himself and his family."
The Whale,2022,13,7.8,1,"A reclusive,morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Black Swan,2010,13,8.0,1,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's 'Swan Lake'."
The Wrestler,2008,13,7.9,1,"A faded professional wrestler must retire,b ut finds his quest for a new life outside the ring a dispiriting struggle."
The Fountain,2006,13,7.2,1,"As a modern-day scientist, Tommy is struggling with mortality,desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife,Izzi."
Pi,1998,13,7.3,1,"A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature."
Personality Crisis: One Night Only,2022,14,7.5,1,"Follow artist David Johansen's luminous set at Café Carlyle from January 2020. A concert that is wonderfully intimate and a testament to both a lost New York and an artist who remains as fresh and exciting as ever."
The Irishman,2019,14,7.8,1,"An illustration of Frank Sheeran's life, from WWII veteran,to hitman for the Bufalino crime family and his alleged assassination of close friend, Jimmy Hoffa."
Silence,2016,14,7.1,1,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
The Wolf of Wall Street,2013,14,8.2,1,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime,corruption and the federal government."
Hugo,2011,14,7.5,1,"In 1931 Paris,an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
George Harrison: Living in the Material World,2011,14,8.1,1,"Filmmaker Martin Scorsese examines the life of musician George Harrison, weaving together interviews,concert footage,home movies and photographs."
Public Speaking,2010,14,7.6,1,"A feature-length documentary starring Fran Lebowitz,a writer known for her unique take on modern life. The film weaves together extemporaneous monologues with archival footage and the effect is a portrait of Fran's worldview and experiences."
Shutter Island,2010,14,8.2,1,"In 1954,a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
Shine a Light,2008,14,7.1,1,"A career-spanning documentary on The Rolling Stones, with concert footage from their 'A Bigger Bang' tour."
The Departed,2006,14,8.5,1,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
The Aviator,2004,14,7.5,1,"A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s."
Gangs of New York,2002,14,7.5,1,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
My Voyage To Italy,1999,14,8.2,1,"World-renowned director Martin Scorsese narrates this journey through his favorites in Italian cinema."
After Hours,1985,14,7.6,1,"An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho he met that evening at a coffee shop."
Taxi Driver,1976,14,8.2,1,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
The Last Waltz,1978,14,8.1,1,"A film account and presentation of the final concert of The Band."
Babylon,2022,15,7.3,1,"A tale of outsized ambition and outrageous excess,it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
La La Land,2016,15,8,1,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
10 Cloverfield Lane,2016,15,7.2,1,"A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable."
Whiplash,2014,15,8.5,1,"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
Nope,2022,16,6.8,1,"The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery."
Us,2019,16,6.8,1,"A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them."
Get Out,2017,16,7.7,1,"A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
My Blueberry Nights,2007,17,6.6,2,"A young lonely woman takes a soul-searching journey across America to resolve her questions about love while encountering a series of off-beat characters along the way."
There's Only One Sun,2007,17,6.5,2,"A woman is haunted by memories of a dangerous mission she undertook while working as a secret agent."
2046,2004,17,7.4,2,"Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love."
Lost in Translation,2003,18,7.7,1,"A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
Sleepy Hollow,1999,19,7.3,1,"Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition,The Headless Horseman."
